measurement_date,grid_cell_id,min_temperature,max_temperature,mean_temperature,precipitation
2010-01-01,1001,203,1021,569,2.366
2010-01-02,1001,279,1052,574,2.797
2010-01-03,1001,284,926,649,2.591
2010-01-04,1001,-11,1028,479,0.0
2010-01-05,1001,298,1054,654,0.0
2010-01-06,1001,569,1173,777,3.92
2010-01-07,1001,358,1126,700,0.0
2010-01-08,1001,348,996,583,0.0
2010-01-09,1001,518,1190,704,1.874
2010-01-10,1001,396,1350,785,1.083
2010-01-11,1001,454,1301,807,2.038
2010-01-12,1001,376,990,598,10.565
2010-01-13,1001,254,1249,596,1.856
2010-01-14,1001,459,1227,770,1.175
2010-01-15,1001,486,1404,862,3.012
2010-01-16,1001,345,1120,789,1.819
2010-01-17,1001,186,1197,651,0.0
2010-01-18,1001,427,1322,755,4.405
2010-01-19,1001,539,1235,861,5.933
2010-01-20,1001,644,1223,864,0.0
2010-01-21,1001,685,1543,912,2.618
2010-01-22,1001,411,1157,709,0.0
2010-01-23,1001,462,1293,834,0.0
2010-01-24,1001,511,1380,855,0.295
2010-01-25,1001,523,1288,810,0.915
2010-01-26,1001,508,1403,929,2.217
2010-01-27,1001,616,1661,889,1.048
2010-01-28,1001,477,1411,906,1.703
2010-01-29,1001,503,1233,957,1.479
2010-01-30,1001,376,1330,872,9.452
2010-01-31,1001,498,1387,925,0.0
2010-02-01,1001,630,1509,938,21.101
2010-02-02,1001,711,1503,1007,0.0
2010-02-03,1001,645,1642,1001,5.22
2010-02-04,1001,670,1714,1057,3.208
2010-02-05,1001,552,1267,892,2.595
2010-02-06,1001,705,1498,970,9.719
2010-02-07,1001,748,1409,1022,3.639
2010-02-08,1001,458,1370,852,0.0
2010-02-09,1001,660,1528,962,1.663
2010-02-10,1001,677,1541,1142,3.67
2010-02-11,1001,687,1599,1104,0.0
2010-02-12,1001,863,1731,1187,3.908
2010-02-13,1001,929,1597,1135,0.795
2010-02-14,1001,674,1566,1066,7.264
2010-02-15,1001,778,1520,982,3.443
2010-02-16,1001,640,1190,993,12.46
2010-02-17,1001,811,1758,1124,0.874
2010-02-18,1001,813,1802,1162,6.171
2010-02-19,1001,736,1846,1172,1.403
2010-02-20,1001,673,1762,1056,0.0
2010-02-21,1001,909,1671,1131,1.265
2010-02-22,1001,845,1506,1148,0.0
2010-02-23,1001,874,1758,1132,0.536
2010-02-24,1001,1135,1777,1222,0.0
2010-02-25,1001,887,1606,1220,0.0
2010-02-26,1001,623,1555,1036,0.0
2010-02-27,1001,723,1549,1145,5.495
2010-02-28,1001,967,1717,1381,0.0
2010-03-01,1001,772,1558,1113,2.825
2010-03-02,1001,805,1531,1058,1.458
2010-03-03,1001,947,1795,1282,0.0
2010-03-04,1001,833,1709,1224,1.129
2010-03-05,1001,805,1683,1193,0.0
2010-03-06,1001,1051,1788,1257,0.748
2010-03-07,1001,1137,1900,1362,2.337
2010-03-08,1001,1116,1555,1200,4.546
2010-03-09,1001,1119,1934,1422,0.0
2010-03-10,1001,1039,1900,1423,0.0
2010-03-11,1001,942,1637,1361,1.642
2010-03-12,1001,881,1849,1298,0.0
2010-03-13,1001,848,1806,1402,1.429
2010-03-14,1001,912,1908,1311,3.069
2010-03-15,1001,1036,1827,1347,0.0
2010-03-16,1001,1054,1927,1423,0.0
2010-03-17,1001,1034,2005,1367,6.318
2010-03-18,1001,1196,1733,1335,0.927
2010-03-19,1001,1120,1875,1423,5.903
